"Marca temporal","¿Cúal es su lugar de residencia?","En el caso de que haya marcado anteriormente que su lugar de residencia NO es Alcoi. ¿Podría especificar de dónde es? (país, provincia, municipio...)","¿Con cuántas personas viaja?","¿Con cuántas personas de las que viaja han entrado a las Tourist-Info?","Con el fin de mejorar nuestros servicios de información turística. ¿Me podría indicar si tiene el Wifi de su teléfono móvil abierto para conectarse a redes Wifi disponibles?"
"2021/06/22 10:05:40 a. m. EET","Alcoi","","2","2","No entiendo la pregunta"
"2021/06/22 10:58:33 a. m. EET","España","Madrid","0","0","No"
"2021/06/23 10:13:42 a. m. EET","Alcoi","","0","0","Sí"
"2021/06/23 10:14:04 a. m. EET","España","Amposta","1","1","Sí"
"2021/06/23 10:46:55 a. m. EET","Internacional","Belgica","1","1","Sí"
"2021/06/23 11:26:12 a. m. EET","Internacional","Rusia","1","1","No entiendo la pregunta"
"2021/06/23 11:27:25 a. m. EET","Comunidad Valenciana","Alicante ","2","2","Sí"
"2021/06/24 10:13:03 a. m. EET","Internacional","Belgica","0","0","Sí"
"2021/06/24 10:57:38 a. m. EET","Internacional","Bélgica ","1","1","No"
"2021/06/24 11:06:55 a. m. EET","Comunidad Valenciana","Valencia","2","2","Sí"
"2021/06/24 11:26:15 a. m. EET","Comunidad Valenciana","Valencia ","1","1","Sí"
"2021/06/24 11:41:55 a. m. EET","España","Cuenca","1","1","Sí"
"2021/06/24 11:52:43 a. m. EET","España","Sevilla","1","0","Sí"
"2021/06/24 12:00:28 p. m. EET","Alcoi","","1","1","Sí"
"2021/06/24 12:59:05 p. m. EET","Comunidad Valenciana","Valencia ","1","1","Sí"
"2021/06/24 1:23:57 p. m. EET","Comunidad Valenciana","Denia","1","0","No"
"2021/06/24 1:24:30 p. m. EET","Comunidad Valenciana","Valencia","3","3","Sí"
"2021/06/24 1:25:22 p. m. EET","Comunidad Valenciana","Valencia ","2","2","Sí"
"2021/06/24 1:56:18 p. m. EET","Alcoi","","0","0","No"
"2021/06/25 10:51:41 a. m. EET","Comunidad Valenciana","Catellon de la plana","1","1","No"
"2021/06/25 10:52:05 a. m. EET","Alcoi","","0","0","No"
"2021/06/25 11:24:33 a. m. EET","España","Cataluña ","1","1","Sí"
"2021/06/25 1:00:54 p. m. EET","Comunidad Valenciana","Valencia ","2","2","Sí"
"2021/06/25 2:34:40 p. m. EET","España","Tarrasa","1","1","No"
"2021/06/26 10:17:08 a. m. EET","España","Murcia","1","1","Sí"
"2021/06/26 11:10:12 a. m. EET","España","Madrid","1","1","Sí"
"2021/06/26 11:11:02 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/06/26 12:51:19 p. m. EET","Comunidad Valenciana","Alicante ","1","1","Sí"
"2021/06/26 1:24:15 p. m. EET","Comunidad Valenciana","Valencia ","1","1","Sí"
